Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2053508,4-Jul-21,Nevada,North Las Vegas,1200 block of W Helen Ave,2,7,N/A
2052342,4-Jul-21,Nebraska,Omaha,2311 N 24th St,1,4,N/A
2052689,4-Jul-21,Illinois,Danville,12 S College St,0,4,N/A
2053346,4-Jul-21,Texas,Dallas,8200 block of Towns St,3,3,N/A
2053786,4-Jul-21,Missouri,Kansas City,E 43rd St and Indiana Ave,0,4,N/A
2053365,4-Jul-21,Texas,Dallas,3700 Dixon Ave,0,5,N/A
2052353,4-Jul-21,Texas,Fort Worth,3400 block of Horne St,0,8,N/A
2053563,4-Jul-21,Illinois,Rantoul,400 block of S Maplewood Dr,0,5,N/A
2052058,3-Jul-21,North Carolina,Chadbourn,Broadway Rd,3,1,N/A
2051763,3-Jul-21,Pennsylvania,Lancaster,50 block of W Orange St,0,4,N/A
2052471,3-Jul-21,Georgia,Swainsboro,229 S Main St,1,3,N/A
2052346,3-Jul-21,Illinois,Chicago,1000 block of W 89th St,0,4,N/A
2050836,2-Jul-21,Virginia,Norfolk,923 Madison Ave,0,4,N/A
2051190,2-Jul-21,Pennsylvania,Philadelphia,7700 block of Ogontz Ave,1,4,N/A
2050972,2-Jul-21,Illinois,Champaign,704 N Hickory St,1,4,N/A
2050593,1-Jul-21,Illinois,Chicago,6500 block of S Halsted St,0,7,N/A
2050151,1-Jul-21,South Carolina,Spartanburg,225 Amelia St,2,4,N/A
2050353,1-Jul-21,Virginia,Chesapeake,1200 block of Seaboard Ave,2,2,N/A
2049419,30-Jun-21,Illinois,Chicago,2200 block of S Millard Ave,0,4,N/A
2049907,30-Jun-21,Louisiana,Marrero,6500 block of Lapalco Blvd,0,4,N/A
2050167,30-Jun-21,Delaware,Dover,100 block of S New St,1,3,N/A
2049845,30-Jun-21,Texas,Houston,12101 Fondren Rd,3,1,N/A
2046714,27-Jun-21,Illinois,Chicago,2000 block of E 71st St,1,5,N/A
2046574,27-Jun-21,Illinois,Saint Charles,2051 Lincoln Hwy,1,3,N/A
2046897,27-Jun-21,Illinois,Chicago,6300 block of South Artesian Ave,1,10,N/A
2047170,27-Jun-21,Tennessee,Memphis,2500 block of Dunn Ave,3,1,N/A
2047726,27-Jun-21,North Carolina,Greensboro,801 Province Spring Cir,0,4,N/A
2046781,26-Jun-21,Texas,Houston,4902 Laura Koppe Rd,1,3,N/A
2045579,26-Jun-21,Illinois,Chicago,6100 block of N McCormick Blvd,1,3,N/A
2047787,26-Jun-21,Alabama,Fort Deposit,Forest Dr,1,3,N/A
2045043,25-Jun-21,Ohio,Columbus,I-670 and Neil Ave,0,4,N/A
2045564,25-Jun-21,Illinois,Chicago,7000 block of S Indiana Ave,0,4,N/A
2044701,25-Jun-21,New York,Bronx,Zerega Ave and Watson Ave,0,5,N/A
2044733,24-Jun-21,Florida,Gainesville,4701 NW 6th St,1,4,N/A
2043834,23-Jun-21,Alabama,Montgomery,100 block of Rotary St,2,2,N/A
2043465,23-Jun-21,New York,Buffalo,114 Hickory St,0,4,N/A
2043898,23-Jun-21,Illinois,Chicago,4900 block of W Hubbard St,0,4,N/A
2043715,23-Jun-21,Illinois,Chicago,7000 block of S Vincennes Ave,0,4,N/A
2041726,21-Jun-21,Missouri,Saint Louis,4002 Sullivan Ave,3,4,N/A
2041555,21-Jun-21,District of Columbia,Washington,300 block of 50th St NE,0,4,N/A
2040643,20-Jun-21,Virginia,Richmond,200 block of Crane St,1,3,N/A
2041297,20-Jun-21,California,Richmond,2108 Dunn Ave,3,5,N/A
2040265,20-Jun-21,Colorado,Aurora,12455 E Mississippi Ave,1,4,N/A
2041363,20-Jun-21,Florida,Wildwood,9605 Co Rd 235,1,10,N/A
2040374,20-Jun-21,Texas,Dallas,4619 E. R L Thornton Freeway,0,8,N/A
2040243,20-Jun-21,Indiana,Granger,7321 Heritage Square Dr,1,4,N/A
